City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Belyy Yar,RU,53.6039,91.3903,26.6,68,40,2.24,smoke
212,Bulawayo,ZW,-20.15,28.5833,61.25,66,0,10.36,clear sky
213,Tromso,NO,69.6496,18.957,32.0,93,75,9.22,light snow
214,Warragul,AU,-38.1667,145.9333,48.99,93,100,1.99,overcast clouds
215,Brae,GB,60.3964,-1.353,35.6,75,51,10.36,broken clouds
216,Port Lincoln,AU,-34.7333,135.8667,59.49,63,100,14.76,overcast clouds
217,Lavrentiya,RU,65.5833,-171.0,4.89,75,100,31.14,overcast clouds
218,Green River,US,41.5286,-109.4662,48.2,18,1,17.27,clear sky
219,Alice Springs,AU,-23.7,133.8833,46.4,81,37,3.44,scattered clouds
220,Pisco,PE,-13.7,-76.2167,75.0,64,0,19.57,clear sky
221,Udachnyy,RU,66.4167,112.4,-16.51,92,72,4.43,broken clouds
222,Mahebourg,MU,-20.4081,57.7,77.0,94,75,4.61,broken clouds
223,Port Elizabeth,ZA,-33.918,25.5701,59.0,87,77,1.01,broken clouds
224,Arrifes,PT,37.7667,-25.7,62.6,94,75,8.05,broken clouds
225,Carnarvon,AU,-24.8667,113.6333,78.8,89,40,13.8,scattered clouds
226,Tarko-Sale,RU,64.9225,77.785,33.53,98,100,16.73,light snow
227,Tuatapere,NZ,-46.1333,167.6833,50.0,98,86,1.99,overcast clouds
228,Sirawai,PH,7.5854,122.1407,78.15,84,37,4.61,scattered clouds
229,Port Hedland,AU,-20.3167,118.5667,77.0,94,94,5.75,overcast clouds
230,Castro,BR,-24.7911,-50.0119,68.38,67,13,3.87,few clouds
231,Biak,ID,-0.9131,122.8766,76.87,80,95,1.48,overcast clouds
232,Micheweni,TZ,-4.9667,39.8333,79.63,83,67,9.51,light rain
233,Concepcion Del Oro,MX,24.6333,-101.4167,80.44,9,49,14.07,scattered clouds
234,Djambala,CG,-2.5447,14.7533,68.2,92,54,2.75,broken clouds
235,Kerchevskiy,RU,59.946,56.2884,32.34,95,86,4.23,overcast clouds
236,Provideniya,RU,64.3833,-173.3,10.81,86,100,29.86,snow
237,Itapipoca,BR,-3.4944,-39.5786,76.96,86,99,4.12,overcast clouds
238,Genhe,CN,50.7833,121.5167,22.57,86,100,6.35,light snow
239,Talnakh,RU,69.4865,88.3972,26.35,92,100,13.44,overcast clouds
240,Chingirlau,KZ,51.095,54.0814,48.51,87,53,10.13,broken clouds
241,Poum,NC,-20.2333,164.0167,77.11,86,100,11.39,overcast clouds
242,Geraldton,AU,-28.7667,114.6,73.4,88,40,18.41,scattered clouds
243,Linda,US,39.1277,-121.5508,78.8,21,1,4.16,clear sky
244,Anadyr,RU,64.75,177.4833,-2.0,78,100,15.66,snow
245,Saint Anthony,US,45.0205,-93.218,55.4,62,90,11.5,overcast clouds
246,Cumbum,IN,9.7333,77.3,73.38,88,60,0.63,broken clouds
247,Palmer,US,42.1584,-72.3287,50.0,71,90,8.05,overcast clouds
248,Lahaina,US,20.8783,-156.6825,75.2,68,90,11.5,overcast clouds
249,Hadejia,NG,12.4498,10.0444,88.39,7,58,10.83,broken clouds
250,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.8,69,0,6.91,clear sky
251,Mackenzie,CA,55.2999,-123.1698,37.4,41,90,4.61,overcast clouds
252,Truro,GB,50.2653,-5.0544,41.0,60,5,10.36,clear sky
253,Neiafu,TO,-18.65,-173.9833,80.6,74,40,6.91,scattered clouds
254,Sechura,PE,-5.5569,-80.8222,77.52,65,89,16.13,overcast clouds
255,General Roca,AR,-39.0333,-67.5833,77.0,41,0,12.3,clear sky
256,Ilulissat,GL,69.2167,-51.1,32.0,55,75,2.3,broken clouds
257,Cabedelo,BR,-6.9811,-34.8339,73.4,100,90,5.75,heavy intensity rain
258,Kruszwica,PL,52.6756,18.3313,54.0,67,100,8.99,overcast clouds
259,Tateyama,JP,34.9833,139.8667,52.0,73,9,1.01,clear sky
260,Bethel,US,41.3712,-73.414,57.0,88,90,12.66,light rain
261,Batagay-Alyta,RU,67.8006,130.4114,-15.65,74,8,5.41,clear sky
262,Sinnamary,GF,5.3833,-52.95,79.74,81,57,4.63,broken clouds
263,Thompson,CA,55.7435,-97.8558,24.8,68,90,11.5,overcast clouds
264,Westport,US,41.1415,-73.3579,50.0,87,90,16.11,moderate rain
265,Bilibino,RU,68.0546,166.4372,-10.88,83,22,1.54,few clouds
266,Vila Velha,BR,-20.3297,-40.2925,80.01,73,0,5.75,clear sky
267,Aix-Les-Bains,FR,45.6834,5.9224,48.2,87,90,3.44,moderate rain
268,Ostrovnoy,RU,68.0531,39.5131,33.13,80,100,27.81,overcast clouds
269,Brownwood,US,31.7093,-98.9912,87.8,18,1,11.5,clear sky
270,Tanabe,JP,33.7333,135.3667,51.91,80,100,8.66,overcast clouds
271,Haines Junction,CA,60.7522,-137.5108,19.4,23,92,2.3,overcast clouds
272,Khor,RU,47.8861,134.9464,45.14,89,100,2.33,moderate rain
273,Bereda,ES,43.2686,-7.5406,42.01,83,4,8.99,clear sky
274,Fortuna,US,40.5982,-124.1573,57.99,62,1,14.97,clear sky
275,Russell,US,32.3502,-85.1999,78.8,31,1,12.66,clear sky
276,Hay River,CA,60.8156,-115.7999,10.4,72,100,5.75,light snow
277,Limoeiro,BR,-7.8747,-35.4503,73.4,88,90,11.5,moderate rain
278,Nabire,ID,-3.3667,135.4833,73.69,89,40,4.29,scattered clouds
279,Kavieng,PG,-2.5744,150.7967,77.52,86,100,2.62,light rain
280,Qaanaaq,GL,77.484,-69.3632,22.95,94,100,11.9,snow
281,Ulaangom,MN,49.9811,92.0667,33.51,34,85,1.81,overcast clouds
282,Storsteinnes,NO,69.2408,19.2344,32.0,86,75,6.91,light snow
283,Kahului,US,20.8947,-156.47,75.2,64,40,11.5,scattered clouds
284,Harper,LR,4.375,-7.7169,81.18,81,45,9.22,scattered clouds
285,Kapit,MY,2.0167,112.9333,72.07,99,100,0.2,light rain
286,Coffs Harbour,AU,-30.3,153.1333,55.4,47,0,6.91,clear sky
287,Verkhnevilyuysk,RU,63.4453,120.3167,-4.81,100,80,4.83,broken clouds
288,Kavaratti,IN,10.5669,72.642,82.92,68,3,4.61,clear sky
289,Leshukonskoye,RU,64.8989,45.7622,34.43,74,13,14.52,few clouds
290,Namibe,AO,-15.1961,12.1522,80.11,69,65,3.38,broken clouds
291,Sharkan,RU,57.2989,53.8712,37.0,96,100,5.14,overcast clouds
292,Bitung,ID,1.4451,125.1824,77.0,94,40,5.91,scattered clouds
293,Tual,ID,-5.6667,132.75,82.8,73,28,9.69,scattered clouds
294,Axim,GH,4.8699,-2.2405,81.59,84,97,8.72,overcast clouds
295,Rocha,UY,-34.4833,-54.3333,62.82,78,100,21.9,overcast clouds
296,Itoman,JP,26.1247,127.6694,69.8,73,20,9.22,few clouds
297,Kalmunai,LK,7.4167,81.8167,78.69,81,83,3.87,broken clouds
298,Bonfim,BR,3.0833,-59.95,84.2,74,40,9.22,scattered clouds
299,Yumen,CN,40.2833,97.2,41.22,37,34,16.44,scattered clouds
300,Oum Hadjer,TD,13.2954,19.6966,85.53,8,0,12.24,clear sky
301,Moroni,KM,-11.7022,43.2551,79.59,75,99,2.66,overcast clouds
302,Pyay,MM,18.8167,95.2167,81.91,61,57,3.04,broken clouds
303,Itamarandiba,BR,-17.8572,-42.8589,63.88,76,1,3.85,clear sky
304,Manyana,BW,-23.4,21.7167,70.7,40,0,4.23,clear sky
305,Yarega,RU,63.4354,53.5765,34.97,74,9,13.47,clear sky
306,Waingapu,ID,-9.6567,120.2641,75.88,84,68,4.74,broken clouds
307,Mount Isa,AU,-20.7333,139.5,64.4,32,0,11.5,clear sky
308,Amnat Charoen,TH,15.9167,104.75,82.0,75,34,5.95,scattered clouds
309,Muros,ES,42.7762,-9.0603,50.0,49,0,17.69,clear sky
310,Irbeyskoye,RU,55.6428,95.4522,30.33,86,100,9.71,overcast clouds
311,Punta Umbria,ES,37.1821,-6.9661,64.0,64,78,7.4,broken clouds
312,Poltavka,RU,54.3663,71.7632,30.22,91,100,5.91,overcast clouds
313,San Francisco,US,37.7749,-122.4194,68.0,59,75,4.61,broken clouds
314,Moka,JP,36.4333,140.0167,54.0,93,20,3.44,few clouds
315,Ambilobe,MG,-13.2,49.05,73.87,92,93,2.42,overcast clouds
316,Zimapan,MX,20.75,-99.35,86.27,9,2,4.0,clear sky
317,Wuda,CN,39.4994,106.7117,47.19,56,95,8.66,overcast clouds
318,Hernani,ES,43.2662,-1.9762,51.8,62,75,10.36,broken clouds
319,Hastings,GB,50.8552,0.5729,37.99,76,70,1.01,broken clouds
320,Oussouye,SN,12.485,-16.5469,77.0,83,0,4.61,clear sky
321,Innisfail,AU,-17.5333,146.0333,70.61,77,1,4.12,clear sky
322,Natchez,US,31.5604,-91.4032,75.2,33,1,5.75,clear sky
323,Pimentel,PE,-6.8367,-79.9342,75.2,64,0,21.85,clear sky
324,Napasar,IN,27.9667,73.55,81.28,10,0,5.08,clear sky
325,Alofi,NU,-19.0595,-169.9187,77.0,88,18,5.75,few clouds
326,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,73,0,2.66,clear sky
327,Tyukalinsk,RU,55.8732,72.1967,29.88,88,84,9.37,broken clouds
328,Half Moon Bay,US,37.4636,-122.4286,64.4,71,1,14.97,haze
329,Dryden,CA,49.7833,-92.7503,37.4,93,90,12.66,mist
330,Charters Towers,AU,-20.1,146.2667,67.37,50,1,14.0,clear sky
331,Dakar,SN,14.6937,-17.4441,69.8,83,0,13.8,clear sky
332,Taoudenni,ML,22.6783,-3.9836,88.95,13,0,6.62,clear sky
333,Vardo,NO,70.3705,31.1107,32.0,80,75,23.02,broken clouds
334,Port Hardy,CA,50.6996,-127.4199,46.4,46,20,13.8,few clouds
335,Alenquer,BR,-1.9417,-54.7383,80.6,89,20,2.3,few clouds
336,Samarai,PG,-10.6167,150.6667,79.81,64,25,8.72,scattered clouds
337,Tabas,IR,33.5959,56.9244,76.62,30,96,5.66,overcast clouds
338,Arlit,NE,18.7369,7.3853,87.21,7,0,11.92,clear sky
339,Sidi Ali,DZ,36.0998,0.4206,56.43,83,30,2.17,scattered clouds
340,Esfahan,IR,32.6572,51.6776,55.4,41,20,2.3,few clouds
341,Sisimiut,GL,66.9395,-53.6735,32.34,72,80,10.38,broken clouds
342,Grants Pass,US,42.439,-123.3284,61.0,27,1,9.22,clear sky
343,Shimoda,JP,34.6667,138.95,50.0,81,75,2.3,broken clouds
344,Hirara,JP,24.8,125.2833,71.01,78,100,18.79,overcast clouds
345,Laguna,US,38.421,-121.4238,80.01,22,1,4.61,clear sky
346,Aviles,ES,43.5547,-5.9248,48.99,76,40,3.44,scattered clouds
347,Tarakan,ID,3.3,117.6333,75.2,94,75,5.75,heavy intensity rain
348,Codrington,AU,-38.2667,141.9667,54.5,74,93,8.93,overcast clouds
